test-cold-start	PASS	rc=0	7s
test-cpu-gpu-soa-interaction	PASS	rc=0	7s
test-dmmv-q4-0-coalesced	FAIL	rc=8	8s
test-dmmv-q6k-coalesced	PASS	rc=0	9s
test-fattn-thread-local	PASS	rc=0	7s
test-ggml-sycl-soa	PASS	rc=0	9s
test-layout-bytes	PASS	rc=0	8s
test-mmq-q6k-gpu	PASS	rc=0	8s
test-mmq-q8-0-streaming-forced	PASS	rc=0	9s
test-mmq-q8-0-streaming-smoke	PASS	rc=0	7s
test-mmvq-q8-0-streaming-bench	SKIP77	rc=0	7s
test-mmvq-q8-0-streaming-smoke	PASS	rc=0	9s
test-moe-mini-graph	PASS	rc=0	10s
test-moe-mul-mat-id	PASS	rc=0	9s
test-moe-mul-mat-id-q4q8	PASS	rc=0	10s
test-mul-mat-host-streaming	PASS	rc=0	8s
test-mxfp4-xmx-tiled	PASS	rc=0	7s
test-onednn-fallback	PASS	rc=0	7s
test-onednn-woq	PASS	rc=0	8s
test-q6k-dispatch	PASS	rc=0	11s
test-q6k-reorder-dispatch	PASS	rc=0	8s
test-q8-0-layout-cache-path	PASS	rc=0	8s
test-q8-0-layout-cache-path-mmvq	PASS	rc=0	9s
test-sycl-cpu-dispatch	PASS	rc=0	7s
test-sycl-fattn-onednn-descriptors	PASS	rc=0	8s
test-sycl-fattn-onednn-materialization	PASS	rc=0	8s
test-sycl-fattn-xmx-policy	PASS	rc=0	7s
test-sycl-kernel-selection	PASS	rc=0	7s
test-sycl-kv-planned-device-materialization	PASS	rc=0	7s
test-sycl-moe-expert-parallelism	PASS	rc=0	7s
test-sycl-moe-handle-resolution	PASS	rc=0	9s
test-sycl-moe-identity-hash	PASS	rc=0	7s
test-sycl-moe-q8-scratch	PASS	rc=0	8s
test-sycl-onednn-packed-cache	PASS	rc=0	7s
test-sycl-orchestrator	PASS	rc=0	9s
test-sycl-set-rows-owner-routing	PASS	rc=0	8s
test-sycl-unified-cache	PASS	rc=0	7s
test-sycl-unified-memory-e2e	PASS	rc=0	11s
test-sycl-weight-key-stability	PASS	rc=0	6s
test-sycl-weight-key-uniqueness	PASS	rc=0	8s
test-sycl-xmx-unified-correctness	PASS	rc=0	9s
test-tensor-classification	PASS	rc=0	7s
test-tiered-dispatch	PASS	rc=0	8s
test-unified-cache-concurrent	PASS	rc=0	8s
test-unified-cache-integrity	PASS	rc=0	9s
test-unified-dispatch-integration	PASS	rc=0	7s
test-xmx-host-streaming	PASS	rc=0	7s
test-xmx-kernel-config	PASS	rc=0	7s
test-xmx-quant-loaders	PASS	rc=0	7s
test-xmx-unified-kernel	PASS	rc=0	7s
