name,category,metadata,device,queue_kind,count,total_ns,mean_ns,min_ns,p50_ns,p95_ns,max_ns,bytes,failed_timestamps,graph_recorded
mxfp4.gateup.xmx_tiled_dpas_m2,mmvq,path=packed-q8-m2;role=gateup;tiles=static;total_batches=runtime,0,compute,9240,1661158234,179779,178542,179688,180625,221875,0,0,0
mxfp4.soa.batched,mmvq,path=soa;role=matvec,0,compute,9240,1042513495,112826,112291,112812,113334,140105,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=201088,0,compute,385,392898005,1020514,1018854,1020520,1021250,1029688,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=4096,0,compute,9240,224179424,24261,23020,24062,25521,30000,0,0,0
mulmat.mmvq.q8_0_coalesced,mulmat,ncols=4096;nrows=2880,0,compute,9240,217145566,23500,22812,23438,23854,25313,0,0,0
fattn.decode.esimd_partitioned,fattn,D=64;softcap=0;ne01=1;ne02=64;ne03=1,0,compute,9240,105682639,11437,10416,11458,11667,14480,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=512,0,compute,18480,101772464,5507,5312,5521,5625,8750,0,0,0
sycl.set_rows.generic,memory,role=set_rows;kind=generic,0,compute,18480,64141888,3470,2812,3438,3958,6146,18923520,0,0
sycl.binbcast.mul,binbcast,role=binbcast;mode=kernel;op=mul;variant=nd,0,compute,27720,59527636,2147,1666,2187,2396,4896,0,0,0
norm.add_rms_norm,norm,ncols=2880;nrows=1,0,compute,18480,57135144,3091,2291,3125,3334,5937,0,0,0
sycl.rope,rope,role=rope,0,compute,18480,49603849,2684,1875,3021,3438,6979,170311680,0,0
sycl.binbcast.add,binbcast,role=binbcast;mode=kernel;op=add;variant=nd,0,compute,27720,46425322,1674,1458,1666,1875,4792,0,0,0
sycl.memcpy.mem_ops,memory,role=memcpy;path=mem_ops,0,copy,18937,36598383,1932,1093,1302,2396,35834,314572672,388,0
sycl.binbcast.event,binbcast,role=binbcast;mode=kernel;event_mode=safe,0,compute,55440,28256232,509,416,521,625,1875,0,0,0
sycl.softmax.forward,softmax,role=softmax;direction=forward,0,compute,9240,19506749,2111,1979,2083,2188,5104,147840,0,0
mxfp4.pack_q8.single_col,mmvq,path=packed-q8;role=pack,0,compute,9240,15998323,1731,1562,1770,1875,2604,1916006400,0,0
mxfp4.quantize.activation_q8_soa,mmvq,role=activation;layout=q8_soa,0,compute,9240,12845644,1390,1041,1354,1563,5104,29937600,0,0
sycl.memcpy.mem_fill,memory,role=memfill;path=mem_ops,0,copy,9625,12508533,1299,1093,1250,1615,3855,33572000,24,0
norm.rms_norm_mul,norm,ncols=2880;nrows=1,0,compute,385,1502813,3903,3645,3854,4270,13855,0,0,0
sycl.get_rows.marker,memory,role=get_rows;kind=marker;path=indices_release,0,compute,1155,616256,533,416,521,625,2917,0,0,0
mulmat.dispatch.entry,mulmat_route,src0_type=q8_0;M=1,0,host,385,0,0,0,0,0,0,0,0,0
mulmat.mmvq.entry,mulmat_route,src0_type=q8_0;src1_ncols=1,0,host,37345,0,0,0,0,0,0,0,0,0
