t_s	act_freq	cur_freq	throttle_status	reason_pl2	bench_pid	rss_anon_kb
0.0	0	2800	0	0	-	-
0.7	0	2800	0	0	-	-
1.3	0	2800	0	0	-	-
2.0	0	2800	0	0	-	-
2.6	0	2800	0	0	-	-
3.2	0	2800	0	0	-	-
3.8	0	2800	0	0	-	-
4.4	0	2800	0	0	-	-
4.9	0	2800	0	0	-	-
5.6	0	2800	0	0	-	-
6.3	2800	2800	0	0	-	-
6.9	0	2800	0	0	3975054	178424
7.6	0	2800	0	0	3975054	392652
8.3	0	2800	0	0	3975054	392652
9.0	0	2800	0	0	3975054	392652
9.6	0	2800	0	0	3975054	392652
10.4	0	2800	0	0	3975054	392652
11.1	0	2800	0	0	3975054	392652
11.8	0	2800	0	0	3975054	392652
12.4	0	2800	0	0	3975054	392652
13.1	0	2800	0	0	3975054	392652
13.7	0	2800	0	0	3975054	392652
14.4	0	2800	0	0	3975054	392652
15.1	0	2800	0	0	3975054	392652
15.8	0	2800	0	0	3975054	392652
16.4	0	2800	0	0	3975054	392652
17.1	0	2800	0	0	3975054	392652
17.7	0	2800	0	0	3975054	392652
18.4	0	2800	0	0	3975054	392652
19.1	0	2800	0	0	3975054	392652
19.8	0	2800	0	0	3975054	392652
20.5	0	2800	0	0	3975054	392652
21.1	0	2800	0	0	3975054	392652
21.8	0	2800	0	0	3975054	392652
22.5	0	2800	0	0	3975054	392652
23.1	0	2800	0	0	3975054	392652
23.7	0	2800	0	0	3975054	392652
24.4	0	2800	0	0	3975054	392652
25.0	0	2800	0	0	3975054	392652
25.6	0	2800	0	0	3975054	392652
26.3	0	2800	0	1	3975054	392652
27.0	0	2800	0	0	3975054	392652
27.6	0	2800	0	0	3975054	392652
28.3	0	2800	0	0	3975054	392652
29.0	0	2800	0	0	3975054	392652
29.7	0	2800	0	0	3975054	392652
30.4	0	2800	0	0	3975054	622936
31.1	0	2000	0	0	3975054	626744
31.8	0	2467	0	0	3975054	637112
32.4	0	1717	0	0	3975054	637116
33.1	1050	1033	0	0	3975054	637120
33.7	0	550	0	0	3975054	637124
34.4	500	417	0	0	3975054	638456
35.0	0	400	0	0	3975054	639692
35.8	0	400	0	0	3975054	621180
36.4	0	583	0	0	3975054	888348
37.1	2800	2800	0	0	3975054	1511920
37.7	2800	2800	0	0	3975054	1532748
38.4	2800	2800	0	0	3975054	1554248
39.1	2800	2800	0	0	3975054	1574816
39.8	2800	2800	0	0	3975054	1600416
40.4	2800	2800	0	0	3975054	1618084
41.1	2800	2800	0	0	3975054	1636516
41.9	2800	2800	0	0	3975054	1659620
42.5	2800	2800	0	0	3975054	1679376
43.2	2800	2800	0	0	3975054	1702192
43.8	2800	2800	0	0	3975054	1722524
44.4	2800	2800	0	0	3975054	1740064
45.1	2800	2800	0	0	3975054	1759304
45.7	2800	2800	0	0	3975054	1776904
46.4	2800	2800	0	0	3975054	1796156
47.0	2800	2800	0	0	3975054	1814880
47.7	2800	2800	0	0	3975054	1832580
48.3	2800	2800	0	0	3975054	1850480
49.0	2800	2800	0	0	3975054	1870484
49.6	2800	2800	0	0	3975054	1886080
50.3	2800	2800	0	0	3975054	1908084
50.9	2800	2800	0	0	3975054	1926648
51.6	2800	2800	0	0	3975054	1946236
52.2	2800	2800	0	0	3975054	1958316
52.9	2800	2800	0	0	3975054	1974612
53.5	2800	2800	0	0	3975054	1996500
54.2	2800	2800	0	0	3975054	2010632
54.8	2800	2800	0	0	3975054	2026140
55.5	2800	2800	0	0	3975054	2041012
56.2	2800	2800	0	0	3975054	2053888
56.8	2800	2800	0	0	3975054	2070640
57.5	2800	2800	0	0	3975054	2090004
58.2	2800	2800	0	0	3975054	2114256
58.9	2800	2800	0	0	3975054	2134848
59.6	2800	2800	0	0	3975054	2154044
60.2	2800	2800	0	0	3975054	2174300
61.0	2800	2800	0	0	3975054	2197264
61.7	2800	2800	0	0	3975054	2215716
62.4	2800	2800	0	0	3975054	2234256
63.1	0	2800	0	0	3975054	2206788
63.8	2800	2800	0	0	3975054	2206788
64.5	0	2800	0	0	3975054	2206788
65.1	0	2800	0	0	3975054	2113704
65.9	0	2800	0	0	3975054	1840900
66.6	0	2800	0	0	3975054	-
