name,category,metadata,device,queue_kind,count,total_ns,mean_ns,min_ns,p50_ns,p95_ns,max_ns,bytes,failed_timestamps,graph_recorded
mxfp4.gateup.xmx_tiled_dpas_m2,mmvq,path=packed-q8-m2;role=gateup;tiles=static;total_batches=runtime,0,compute,9240,1658517939,179493,178438,179479,180208,217500,0,0,0
mxfp4.soa.batched,mmvq,path=soa;role=matvec,0,compute,9240,1041139889,112677,112187,112605,113021,124375,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=201088,0,compute,385,392990421,1020754,1019062,1020729,1021250,1021875,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=4096,0,compute,9240,224357419,24281,22917,24063,25625,26875,0,0,0
mulmat.mmvq.q8_0_coalesced,mulmat,ncols=4096;nrows=2880,0,compute,9240,217466161,23535,22812,23541,23958,32812,0,0,0
fattn.decode.esimd_partitioned,fattn,D=64;softcap=0;ne01=1;ne02=64;ne03=1,0,compute,9240,105180115,11383,10416,11354,11563,12292,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=512,0,compute,18480,101489334,5491,5208,5521,5625,6042,0,0,0
sycl.set_rows.generic,memory,role=set_rows;kind=generic,0,compute,18480,62984481,3408,2812,3334,3854,5625,18923520,0,0
sycl.binbcast.mul,binbcast,role=binbcast;mode=kernel;op=mul;variant=nd,0,compute,27720,58471101,2109,1666,2084,2396,3333,0,0,0
norm.add_rms_norm,norm,ncols=2880;nrows=1,0,compute,18480,56630694,3064,2291,3021,3333,4479,0,0,0
sycl.rope,rope,role=rope,0,compute,18480,50088361,2710,1875,3021,3438,5209,170311680,0,0
sycl.binbcast.add,binbcast,role=binbcast;mode=kernel;op=add;variant=nd,0,compute,27720,46170001,1665,1458,1666,1875,2187,0,0,0
sycl.memcpy.mem_ops,memory,role=memcpy;path=mem_ops,0,copy,18937,34949055,1845,1093,1250,1407,38281,314572672,388,0
sycl.binbcast.event,binbcast,role=binbcast;mode=kernel;event_mode=safe,0,compute,55440,28269744,509,416,521,625,1666,0,0,0
sycl.softmax.forward,softmax,role=softmax;direction=forward,0,compute,9240,19612023,2122,1875,2084,2188,2813,147840,0,0
mxfp4.pack_q8.single_col,mmvq,path=packed-q8;role=pack,0,compute,9240,15556952,1683,1562,1667,1771,2084,1916006400,0,0
mxfp4.quantize.activation_q8_soa,mmvq,role=activation;layout=q8_soa,0,compute,9240,13081785,1415,1041,1458,1666,10729,29937600,0,0
sycl.memcpy.mem_fill,memory,role=memfill;path=mem_ops,0,copy,9625,12138053,1261,1093,1250,1406,2292,33572000,24,0
norm.rms_norm_mul,norm,ncols=2880;nrows=1,0,compute,385,1449797,3765,3645,3750,3854,7292,0,0,0
sycl.get_rows.marker,memory,role=get_rows;kind=marker;path=indices_release,0,compute,1155,591251,511,416,521,625,1563,0,0,0
mulmat.dispatch.entry,mulmat_route,src0_type=q8_0;M=1,0,host,385,0,0,0,0,0,0,0,0,0
mulmat.mmvq.entry,mulmat_route,src0_type=q8_0;src1_ncols=1,0,host,37345,0,0,0,0,0,0,0,0,0
