name,category,metadata,device,queue_kind,count,total_ns,mean_ns,min_ns,p50_ns,p95_ns,max_ns,bytes,failed_timestamps,graph_recorded
mxfp4.gateup.xmx_tiled_dpas_m2,mmvq,path=packed-q8-m2;role=gateup;tiles=static;total_batches=runtime,0,compute,9240,1657304685,179361,178333,179271,180104,213646,0,0,0
mxfp4.soa.batched,mmvq,path=soa;role=matvec,0,compute,9240,1041892254,112758,112188,112709,113125,117917,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=201088,0,compute,385,392934167,1020608,1018854,1020625,1021250,1021875,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=4096,0,compute,9240,224620271,24309,23021,24063,25625,26979,0,0,0
mulmat.mmvq.q8_0_coalesced,mulmat,ncols=4096;nrows=2880,0,compute,9240,217221220,23508,22812,23541,23855,25416,0,0,0
fattn.decode.esimd_partitioned,fattn,D=64;softcap=0;ne01=1;ne02=64;ne03=1,0,compute,9240,106095207,11482,10520,11459,11667,21666,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=512,0,compute,18480,101612656,5498,5208,5521,5625,6666,0,0,0
sycl.set_rows.generic,memory,role=set_rows;kind=generic,0,compute,18480,63062895,3412,2812,3437,3854,5000,18923520,0,0
sycl.binbcast.mul,binbcast,role=binbcast;mode=kernel;op=mul;variant=nd,0,compute,27720,59282817,2138,1666,2187,2396,3542,0,0,0
norm.add_rms_norm,norm,ncols=2880;nrows=1,0,compute,18480,56388663,3051,2187,3021,3333,5208,0,0,0
sycl.rope,rope,role=rope,0,compute,18480,49217875,2663,1875,2917,3437,6146,170311680,0,0
sycl.binbcast.add,binbcast,role=binbcast;mode=kernel;op=add;variant=nd,0,compute,27720,46662044,1683,1458,1666,1875,2084,0,0,0
sycl.memcpy.mem_ops,memory,role=memcpy;path=mem_ops,0,copy,18937,34907453,1843,1093,1250,1407,40729,314572672,388,0
sycl.binbcast.event,binbcast,role=binbcast;mode=kernel;event_mode=safe,0,compute,55440,28307495,510,416,521,625,1771,0,0,0
sycl.softmax.forward,softmax,role=softmax;direction=forward,0,compute,9240,19415102,2101,1875,2083,2188,2812,147840,0,0
mxfp4.pack_q8.single_col,mmvq,path=packed-q8;role=pack,0,compute,9240,17421971,1885,1666,1875,2084,2292,1916006400,0,0
mxfp4.quantize.activation_q8_soa,mmvq,role=activation;layout=q8_soa,0,compute,9240,13116106,1419,1042,1458,1666,3020,29937600,0,0
sycl.memcpy.mem_fill,memory,role=memfill;path=mem_ops,0,copy,9625,12151659,1262,1093,1250,1406,3542,33572000,24,0
norm.rms_norm_mul,norm,ncols=2880;nrows=1,0,compute,385,1464391,3803,3645,3750,3855,19166,0,0,0
sycl.get_rows.marker,memory,role=get_rows;kind=marker;path=indices_release,0,compute,1155,593769,514,416,521,625,2708,0,0,0
mulmat.dispatch.entry,mulmat_route,src0_type=q8_0;M=1,0,host,385,0,0,0,0,0,0,0,0,0
mulmat.mmvq.entry,mulmat_route,src0_type=q8_0;src1_ncols=1,0,host,37345,0,0,0,0,0,0,0,0,0
