t_s	act_freq	cur_freq	throttle_status	reason_pl2	rss_anon_kb
0.1	0	1950	0	0	1260
0.6	2800	2800	0	0	1260
1.1	0	2800	0	0	1260
1.7	0	2800	0	0	1260
2.2	0	2800	0	0	1260
2.8	0	2800	0	0	1260
3.3	0	2800	0	0	1260
3.8	0	2800	0	0	1260
4.4	0	2800	0	0	1260
4.9	0	2800	0	0	1260
5.4	0	2800	0	0	1260
5.9	0	2800	0	0	1260
6.5	0	2800	0	0	1260
7.0	0	2800	0	0	1260
7.6	0	2800	0	0	1260
8.1	0	2800	0	0	1260
8.6	0	2800	0	1	1260
9.2	0	2800	0	0	1260
9.7	0	2800	0	0	1260
10.2	0	2800	0	0	1260
10.7	0	2800	0	0	1260
11.3	0	2800	0	0	1260
11.8	0	2800	0	0	1260
12.4	0	2800	0	0	1260
12.9	0	2800	0	0	1260
13.4	0	2800	0	0	1260
13.9	0	2800	0	0	1260
14.5	0	2800	0	0	1260
15.0	0	2800	0	0	1260
15.5	0	2800	0	0	1260
16.1	0	2800	0	0	1260
16.6	0	2800	0	0	1260
17.1	0	2800	0	0	1260
17.7	0	2800	0	0	1260
18.2	2800	2800	0	0	1260
18.7	0	2583	0	0	1260
19.3	0	2467	0	0	1260
19.8	0	2467	0	0	1260
20.3	2500	2467	0	0	1260
20.9	2100	2083	0	0	1260
21.4	0	1533	0	0	1260
21.9	1250	1250	0	0	1260
22.5	2800	2800	0	0	1260
23.0	2800	2800	0	0	1260
23.5	2800	2800	0	0	1260
24.1	2800	2800	0	0	1260
24.6	2800	2800	0	0	1260
25.1	2800	2800	0	0	1260
25.6	2800	2800	0	0	1260
26.2	2800	2800	0	0	1260
26.7	2800	2800	0	0	1260
27.2	2800	2800	0	0	1260
27.7	2800	2800	0	0	1260
28.3	2800	2800	0	0	1260
28.8	2800	2800	0	0	1260
29.3	2800	2800	0	0	1260
29.8	2800	2800	0	0	1260
30.4	2800	2800	0	0	1260
30.9	2800	2800	0	0	1260
31.4	2800	2800	0	0	1260
31.9	2800	2800	0	0	1260
32.5	2800	2800	0	0	1260
33.0	2800	2800	0	0	1260
33.5	2800	2800	0	0	1260
34.0	2800	2800	0	0	1260
34.5	2800	2800	0	0	1260
35.1	2800	2800	0	0	1260
35.6	2800	2800	0	0	1260
36.1	2800	2800	0	0	1260
36.7	2800	2800	0	0	1260
37.2	2800	2800	0	0	1260
37.7	2800	2800	0	0	1260
38.2	2800	2800	0	0	1260
38.8	2800	2800	0	0	1260
39.3	0	2800	0	0	1260
39.8	0	2800	0	0	1260
40.4	0	2800	0	0	1260
