t_s	act_freq	cur_freq	throttle_status	reason_pl2	bench_pid	rss_anon_kb
0.2	0	400	0	0	-	-
1.0	0	400	0	0	-	-
1.8	0	400	0	0	-	-
2.5	0	2800	0	0	3132843	116340
3.3	0	2800	0	0	3132843	332144
4.1	0	2800	0	0	3132843	392652
4.9	0	2800	0	0	3132843	392652
5.6	0	2800	0	0	3132843	392652
6.4	0	2800	0	0	3132843	392652
7.5	0	2800	0	0	3132843	392652
8.3	0	2800	0	0	3132843	392652
9.1	0	2800	0	0	3132843	392652
9.9	0	2800	0	0	3132843	392652
10.8	0	2800	0	0	3132843	392652
11.5	0	2800	0	0	3132843	392652
12.4	0	2800	0	0	3132843	392652
13.2	0	2800	0	0	3132843	392652
13.9	0	2800	0	0	3132843	392652
14.7	0	2800	0	0	3132843	392652
15.5	0	2800	0	0	3132843	392652
16.2	0	2800	0	0	3132843	392652
16.9	0	2800	0	0	3132843	392652
17.6	0	2800	0	0	3132843	392652
18.4	0	2800	0	0	3132843	392652
19.0	0	2800	0	0	3132843	392652
19.8	0	2800	0	0	3132843	392652
20.6	0	2800	0	0	3132843	392652
21.5	0	2800	0	0	3132843	392652
22.3	0	2800	0	0	3132843	392652
23.2	0	2800	0	0	3132843	622936
24.0	0	2800	0	0	3132843	622936
24.9	0	2800	0	0	3132843	622936
25.7	2800	2800	0	0	3132843	626744
26.4	0	2800	0	0	3132843	632068
27.1	0	817	0	0	3132843	632468
28.0	0	833	0	0	3132843	632720
28.7	0	483	0	0	3132843	637104
29.6	0	400	0	0	3132843	637108
30.5	0	400	0	0	3132843	637112
31.3	0	2800	0	0	3132843	637116
32.1	0	1650	0	0	3132843	637116
32.9	0	1283	0	0	3132843	637116
33.7	0	933	0	0	3132843	637116
34.4	0	517	0	0	3132843	637116
35.1	0	1650	0	0	3132843	637120
35.9	0	800	0	0	3132843	637120
36.8	0	400	0	0	3132843	637428
37.5	0	583	0	0	3132843	637832
38.4	0	600	0	0	3132843	638200
39.1	450	617	0	0	3132843	638568
39.9	0	1417	0	0	3132843	638944
40.7	0	700	0	0	3132843	639196
41.6	0	400	0	0	3132843	640428
42.3	0	417	0	0	3132843	640800
43.0	0	400	0	0	3132843	621172
43.9	0	733	0	0	3132843	1050068
44.9	2800	2800	0	0	3132843	1511544
45.5	2800	2800	0	0	3132843	1519084
46.3	2800	2800	0	0	3132843	1525408
47.1	2800	2800	0	0	3132843	1532576
48.0	2800	2800	0	0	3132843	1540200
48.9	2800	2800	0	0	3132843	1545692
49.6	2800	2800	0	0	3132843	1554068
50.3	2800	2800	0	0	3132843	1562924
51.0	2800	2800	0	0	3132843	1569260
51.9	2800	2800	0	0	3132843	1575316
52.6	2800	2800	0	0	3132843	1582676
53.4	2800	2800	0	0	3132843	1599848
54.1	2800	2800	0	0	3132843	1600820
54.9	2800	2800	0	0	3132843	1601216
55.6	2800	2800	0	0	3132843	1603484
56.5	2800	2800	0	0	3132843	1608356
57.3	2800	2800	0	0	3132843	1613000
58.0	2800	2800	0	0	3132843	1620012
58.9	2800	2800	0	0	3132843	1625432
59.6	2800	2800	0	0	3132843	1629324
60.5	2800	2800	0	0	3132843	1633392
61.5	2800	2800	0	0	3132843	1639688
62.2	2800	2800	0	0	3132843	1649188
63.0	2800	2800	0	0	3132843	1659084
63.8	2800	2800	0	0	3132843	1669720
64.6	2800	2800	0	0	3132843	1677348
65.4	2800	2800	0	0	3132843	1681548
66.1	2800	2800	0	0	3132843	1685820
66.9	2800	2800	0	0	3132843	1694048
67.7	2800	2800	0	0	3132843	1698944
68.3	2800	2800	0	0	3132843	1702332
69.1	2800	2800	0	0	3132843	1705992
70.0	2800	2800	0	0	3132843	1710132
70.9	2800	2800	0	0	3132843	1714256
71.6	2800	2800	0	0	3132843	1718224
72.4	2800	2800	0	0	3132843	1725516
73.3	2800	2800	0	0	3132843	1731532
74.2	2800	2800	0	0	3132843	1736696
74.8	2800	2800	0	0	3132843	1742132
75.7	2800	2800	0	0	3132843	1747280
76.5	2800	2800	0	0	3132843	1752196
77.2	2800	2800	0	0	3132843	1758976
78.0	2800	2800	0	0	3132843	1766544
78.8	2800	2800	0	0	3132843	1772284
79.6	2800	2800	0	0	3132843	1776572
80.3	2800	2800	0	0	3132843	1782184
81.0	2800	2800	0	0	3132843	1785560
81.8	2800	2800	0	0	3132843	1791348
82.6	2800	2800	0	0	3132843	1799740
83.6	2800	2800	0	0	3132843	1805708
84.4	2800	2800	0	0	3132843	1812852
85.2	2800	2800	0	0	3132843	1817804
86.0	2800	2800	0	0	3132843	1829900
86.8	2800	2800	0	0	3132843	1834684
87.7	2800	2800	0	0	3132843	1839936
88.4	2800	2800	0	0	3132843	1843980
89.4	2800	2800	0	0	3132843	1850964
90.2	2800	2800	0	0	3132843	1857964
90.9	2800	2800	0	0	3132843	1865260
91.8	2800	2800	0	0	3132843	1875860
93.0	2800	2800	0	0	3132843	1885052
93.8	2800	2800	0	0	3132843	1889244
94.6	2800	2800	0	0	3132843	1896660
95.4	2800	2800	0	0	3132843	1902384
96.3	2800	2800	0	0	3132843	1908672
97.0	2800	2800	0	0	3132843	1915548
97.8	2800	2800	0	0	3132843	1922828
98.7	2800	2800	0	0	3132843	1931996
99.4	2800	2800	0	0	3132843	1944096
100.3	2800	2800	0	0	3132843	1954308
101.0	2800	2800	0	0	3132843	1960016
101.9	2800	2800	0	0	3132843	1965308
102.6	2800	2800	0	0	3132843	1972792
103.4	2800	2800	0	0	3132843	1983424
104.1	2800	2800	0	0	3132843	1994944
104.9	2800	2800	0	0	3132843	2000728
105.7	2800	2800	0	0	3132843	2007020
106.5	2800	2800	0	0	3132843	2011616
107.3	2800	2800	0	0	3132843	2017076
108.1	2800	2800	0	0	3132843	2022500
108.8	2800	2800	0	0	3132843	2029660
109.6	2800	2800	0	0	3132843	2036000
110.3	2800	2800	0	0	3132843	2043880
111.0	2800	2800	0	0	3132843	2049636
111.7	2800	2800	0	0	3132843	2058980
112.6	2800	2800	0	0	3132843	2068988
113.4	2800	2800	0	0	3132843	2078084
114.1	2800	2800	0	0	3132843	2085760
114.9	2800	2800	0	0	3132843	2093924
115.7	2800	2800	0	0	3132843	2102240
116.5	2800	2800	0	0	3132843	2108520
117.3	2800	2800	0	0	3132843	2114172
118.2	2800	2800	0	0	3132843	2121688
118.9	2800	2800	0	0	3132843	2127436
119.7	2800	2800	0	0	3132843	2132312
120.5	2800	2800	0	0	3132843	2136836
121.5	2800	2800	0	0	3132843	2140972
122.3	2800	2800	0	0	3132843	2146976
123.2	2800	2800	0	0	3132843	2151256
124.0	2800	2800	0	0	3132843	2159448
124.9	2800	2800	0	0	3132843	2169260
125.7	2800	2800	0	0	3132843	2177248
126.4	2800	2800	0	0	3132843	2185996
127.4	2800	2800	0	0	3132843	2195488
128.2	2800	2800	0	0	3132843	2201736
129.1	2800	2800	0	0	3132843	2206024
129.8	2800	2800	0	0	3132843	2209928
130.6	2800	2800	0	0	3132843	2218284
131.4	2800	2800	0	0	3132843	2224796
132.3	2800	2800	0	0	3132843	2231928
133.1	2800	2800	0	0	3132843	2206684
133.9	2800	2800	0	0	3132843	2206684
134.7	2633	2800	0	0	3132843	2206684
135.5	2800	2800	0	0	3132843	2206684
136.3	2800	2800	0	0	3132843	2206684
137.1	0	2800	0	0	3132843	2207624
137.8	0	2800	0	0	3132843	2113596
138.6	0	2800	0	0	3132843	1837852
139.4	0	2800	0	0	-	-
