name,category,metadata,device,queue_kind,count,total_ns,mean_ns,min_ns,p50_ns,p95_ns,max_ns,bytes,failed_timestamps,graph_recorded
mxfp4.gateup.xmx_tiled_dpas_m2,mmvq,path=packed-q8-m2;role=gateup;tiles=static;total_batches=runtime,0,compute,9240,1658365487,179476,178438,179375,180209,229167,0,0,0
mxfp4.soa.batched,mmvq,path=soa;role=matvec,0,compute,9240,1042031954,112774,112291,112709,113125,121459,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=201088,0,compute,385,392933950,1020607,1019375,1020625,1021250,1021979,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=4096,0,compute,9240,223857453,24226,22917,23959,25521,30521,0,0,0
mulmat.mmvq.q8_0_coalesced,mulmat,ncols=4096;nrows=2880,0,compute,9240,217250040,23511,22812,23541,23855,25313,0,0,0
fattn.decode.esimd_partitioned,fattn,D=64;softcap=0;ne01=1;ne02=64;ne03=1,0,compute,9240,105578235,11426,10416,11458,11667,21354,0,0,0
mulmat.mmvq.q8_0_soa,mulmat,ncols=2880;nrows=512,0,compute,18480,101491144,5491,5209,5521,5625,9271,0,0,0
sycl.set_rows.generic,memory,role=set_rows;kind=generic,0,compute,18480,63345203,3427,2812,3437,3854,6563,18923520,0,0
sycl.binbcast.mul,binbcast,role=binbcast;mode=kernel;op=mul;variant=nd,0,compute,27720,59187945,2135,1666,2084,2396,4792,0,0,0
norm.add_rms_norm,norm,ncols=2880;nrows=1,0,compute,18480,56438626,3054,2291,3021,3333,6979,0,0,0
sycl.rope,rope,role=rope,0,compute,18480,49654010,2686,1875,3125,3438,8542,170311680,0,0
sycl.binbcast.add,binbcast,role=binbcast;mode=kernel;op=add;variant=nd,0,compute,27720,46972461,1694,1458,1563,1980,2084,0,0,0
sycl.memcpy.mem_ops,memory,role=memcpy;path=mem_ops,0,copy,18937,35057776,1851,1093,1250,1407,44635,314572672,388,0
sycl.binbcast.event,binbcast,role=binbcast;mode=kernel;event_mode=safe,0,compute,55440,28272547,509,416,521,625,9792,0,0,0
sycl.softmax.forward,softmax,role=softmax;direction=forward,0,compute,9240,19341801,2093,1979,2083,2188,3854,147840,0,0
mxfp4.pack_q8.single_col,mmvq,path=packed-q8;role=pack,0,compute,9240,15578551,1685,1562,1667,1771,2917,1916006400,0,0
mxfp4.quantize.activation_q8_soa,mmvq,role=activation;layout=q8_soa,0,compute,9240,13134507,1421,1041,1458,1666,4687,29937600,0,0
sycl.memcpy.mem_fill,memory,role=memfill;path=mem_ops,0,copy,9625,12157706,1263,1093,1250,1406,4323,33572000,24,0
norm.rms_norm_mul,norm,ncols=2880;nrows=1,0,compute,385,1475416,3832,3645,3750,3959,16042,0,0,0
sycl.get_rows.marker,memory,role=get_rows;kind=marker;path=indices_release,0,compute,1155,592814,513,416,521,625,3125,0,0,0
mulmat.dispatch.entry,mulmat_route,src0_type=q8_0;M=1,0,host,385,0,0,0,0,0,0,0,0,0
mulmat.mmvq.entry,mulmat_route,src0_type=q8_0;src1_ncols=1,0,host,37345,0,0,0,0,0,0,0,0,0
